,0,1
0,134.0,299.0
1,119.0,299.0
2,155.0,301.0
3,148.0,319.0
4,198.0,303.0
5,128.0,317.0
6,167.0,286.0
7,137.0,303.0
8,149.0,291.0
9,113.0,330.0
10,135.0,301.0
11,151.0,310.0
12,113.0,303.0
13,128.0,287.0
14,136.0,272.0
15,176.0,278.0
16,153.0,334.0
17,159.0,314.0
18,177.0,333.0
19,137.0,308.0
20,144.0,315.0
21,161.0,321.0
22,169.0,326.0
23,193.0,308.0
24,161.0,314.0
25,140.0,301.0
26,123.0,303.0
27,138.0,272.0
28,153.0,276.0
29,105.0,303.0
30,149.0,324.0
31,165.0,296.0
32,124.0,313.0
33,157.0,298.0
34,104.0,308.0
35,96.0,302.0
36,126.0,311.0
37,131.0,288.0
38,144.0,310.0
39,147.0,347.0
40,137.0,311.0
41,129.0,277.0
42,148.0,287.0
43,139.0,326.0
44,125.0,363.0
45,152.0,304.0
46,112.0,314.0
47,131.0,271.0
48,133.0,394.0
49,111.0,288.0
50,106.0,297.0
51,132.0,259.0
52,135.0,280.0
53,148.0,328.0
54,96.0,452.0
55,148.0,307.0
56,183.0,298.0
57,79.0,289.0
58,126.0,334.0
59,145.0,279.0
60,136.0,287.0
61,117.0,278.0
62,141.0,296.0
63,145.0,295.0
64,182.0,291.0
65,139.0,342.0
66,108.0,312.0
67,115.0,348.0
68,148.0,323.0
69,133.0,302.0
70,176.0,343.0
71,175.0,305.0
72,112.0,322.0
73,116.0,317.0
74,139.0,298.0
75,166.0,289.0
76,158.0,316.0
77,116.0,289.0
78,121.0,314.0
79,142.0,344.0
80,103.0,312.0
81,159.0,311.0
82,94.0,342.0
83,169.0,323.0
84,117.0,326.0
85,129.0,287.0
86,135.0,275.0
87,172.0,265.0
88,180.0,303.0
89,168.0,311.0
90,116.0,284.0
91,72.0,324.0
92,131.0,269.0
93,179.0,319.0
94,75.0,329.0
95,78.0,267.0
96,150.0,314.0
97,134.0,311.0
98,168.0,315.0
99,108.0,285.0
100,136.0,295.0
101,181.0,291.0
102,117.0,319.0
103,148.0,298.0
104,143.0,301.0
105,164.0,305.0
106,170.0,325.0
107,118.0,262.0
108,141.0,309.0
109,114.0,303.0
110,89.0,296.0
111,122.0,289.0
112,143.0,270.0
113,191.0,332.0
114,123.0,280.0
115,157.0,311.0
116,193.0,324.0
117,146.0,312.0
118,139.0,280.0
119,147.0,304.0
120,130.0,290.0
121,110.0,320.0
122,156.0,278.0
123,147.0,307.0
124,165.0,323.0
125,52.0,299.0
126,113.0,287.0
127,126.0,295.0
128,120.0,298.0
129,155.0,329.0
130,114.0,310.0
131,181.0,307.0
132,145.0,288.0
133,132.0,306.0
134,152.0,304.0
135,105.0,318.0
136,154.0,305.0
137,119.0,299.0
138,160.0,298.0
139,107.0,270.0
140,152.0,305.0
141,110.0,298.0
142,140.0,266.0
143,148.0,335.0
144,167.0,318.0
145,147.0,327.0
146,145.0,324.0
147,150.0,286.0
148,158.0,297.0
149,144.0,301.0
150,133.0,343.0
151,109.0,327.0
152,172.0,250.0
153,89.0,300.0
154,152.0,310.0
155,115.0,277.0
156,163.0,307.0
157,170.0,323.0
158,114.0,314.0
159,142.0,300.0
160,168.0,325.0
161,88.0,296.0
162,143.0,297.0
163,157.0,320.0
164,141.0,296.0
165,177.0,312.0
166,133.0,305.0
167,150.0,282.0
168,135.0,312.0
169,145.0,297.0
170,139.0,305.0
171,117.0,285.0
172,162.0,271.0
173,131.0,303.0
174,145.0,284.0
175,83.0,275.0
176,137.0,414.0
177,180.0,305.0
178,166.0,285.0
179,172.0,296.0
180,123.0,262.0
181,124.0,297.0
